model,fold,n_train,n_val,accuracy,auc,loss,precision,recall
svm,0,313,81,0.7037037037037037,0.6887519260400616,,,
svm,1,312,82,0.6951219512195121,0.7787990196078431,,,
svm,2,322,72,0.75,0.7875688434303698,,,
svm,3,313,81,0.8395061728395061,0.8786472148541115,,,
svm,4,316,78,0.6794871794871795,0.6928301886792453,,,
custom_cnn,0,313,81,0.7283950448036194,0.8204931020736694,0.8108142018318176,0.0,0.0
custom_cnn,1,312,82,0.707317054271698,0.8079044818878174,1.0462807416915894,0.75,0.44117647409439087
custom_cnn,2,322,72,0.7638888955116272,0.8634933233261108,0.8079348802566528,0.8181818127632141,0.5806451439857483
custom_cnn,3,313,81,0.8518518805503845,0.8527851104736328,0.6926866173744202,0.9473684430122375,0.6206896305084229
custom_cnn,4,316,78,0.3205128312110901,0.5,4.043503761291504,0.3205128312110901,1.0
vgg16,0,313,81,0.790123462677002,0.776964545249939,0.5403053164482117,0.5925925970077515,0.7272727489471436
vgg16,1,312,82,0.707317054271698,0.7935049533843994,0.5753619074821472,0.6315789222717285,0.7058823704719543
vgg16,2,322,72,0.8333333134651184,0.8005507588386536,0.49717071652412415,0.9523809552192688,0.6451612710952759
vgg16,3,313,81,0.8641975522041321,0.9379973411560059,0.41997140645980835,0.78125,0.8620689511299133
vgg16,4,316,78,0.692307710647583,0.7724528312683105,0.5952813625335693,0.5135135054588318,0.7599999904632568
resnet50,0,313,81,0.654321014881134,0.6729583740234375,0.6731242537498474,0.38461539149284363,0.4545454680919647
resnet50,1,312,82,0.6951219439506531,0.7334558963775635,0.6284158825874329,0.6363636255264282,0.6176470518112183
resnet50,2,322,72,0.7083333134651184,0.7206923961639404,0.5960185527801514,0.7272727489471436,0.5161290168762207
resnet50,3,313,81,0.8888888955116272,0.867374062538147,0.5541715621948242,0.8571428656578064,0.8275862336158752
resnet50,4,316,78,0.7564102411270142,0.796603798866272,0.6497547030448914,0.6499999761581421,0.5199999809265137
inception_v3,0,313,81,0.790123462677002,0.7411401867866516,0.5940008759498596,0.6190476417541504,0.5909090638160706
inception_v3,1,312,82,0.7195122241973877,0.8103554248809814,0.598798394203186,0.6341463327407837,0.7647058963775635
inception_v3,2,322,72,0.7777777910232544,0.7671124935150146,0.6069375276565552,0.8260869383811951,0.6129032373428345
inception_v3,3,313,81,0.8148148059844971,0.9008620381355286,0.4895850419998169,0.6944444179534912,0.8620689511299133
inception_v3,4,316,78,0.692307710647583,0.7109434008598328,0.6215958595275879,0.5185185074806213,0.5600000023841858
xception,0,313,81,0.7407407164573669,0.6995377540588379,0.5841940641403198,0.52173912525177,0.5454545617103577
xception,1,312,82,0.7804877758026123,0.8063725829124451,0.580612301826477,0.7105262875556946,0.7941176295280457
xception,2,322,72,0.75,0.7671124935150146,0.6169868111610413,0.8095238208770752,0.5483871102333069
xception,3,313,81,0.790123462677002,0.8958885669708252,0.502118706703186,0.6578947305679321,0.8620689511299133
xception,4,316,78,0.7948718070983887,0.8494340181350708,0.5035654902458191,0.7142857313156128,0.6000000238418579
